Abbreviation,name,row,column
AL,Alabama,7,8
AK,Alaska,1,1
AZ,Arizona,6,3
AR,Arkansas,6,6
CA,California,5,2
CO,Colorado,5,4
CT,Connecticut,4,11
DC,District of Columbia,6,10
DE,Delaware,5,11
FL,Florida,8,10
GA,Georgia,7,9
HI,Hawaii,8,1
ID,Idaho,3,3
IL,Illinois,3,7
IN,Indiana,4,7
IA,Iowa,4,6
KS,Kansas,6,5
KY,Kentucky,5,7
LA,Louisiana,7,6
ME,Maine,1,12
MD,Maryland,5,10
MA,Massachusetts,3,12
MI,Michigan,3,9
MN,Minnesota,3,6
MS,Mississippi,7,7
MO,Missouri,5,6
MT,Montana,3,4
NE,Nebraska,5,5
NV,Nevada,4,3
NH,New Hampshire,2,12
NJ,New Jersey,4,10
NM,New Mexico,6,4
NY,New York,3,10
NC,North Carolina,6,8
ND,North Dakota,3,5
OH,Ohio,4,8
OK,Oklahoma,7,5
OR,Oregon,4,2
PA,Pennsylvania,4,9
PR,Puerto Rico,8,12
RI,Rhode Island,3,11
SC,South Carolina,6,9
SD,South Dakota,4,5
TN,Tennessee,6,7
TX,Texas,8,5
UT,Utah,5,3
VT,Vermont,2,11
VA,Virginia,5,9
WA,Washington,3,2
WV,West Virginia,5,8
WI,Wisconsin,3,8
WY,Wyoming,4,4
