Point,X,Y
1,0,0
2,0,1
3,0,2
4,0,3
5,0,4
6,0,5
7,0,6
8,0,7
9,0,8
10,0,9
11,0,10
12,1,0
13,1,1
14,1,2
15,1,3
16,1,4
17,1,5
18,1,6
19,1,7
20,1,8
21,1,9
22,1,10
23,2,0
24,2,1
25,2,2
26,2,3
27,2,4
28,2,5
29,2,6
30,2,7
31,2,8
32,2,9
33,2,10
34,3,0
35,3,1
36,3,2
37,3,3
38,3,4
39,3,5
40,3,6
41,3,7
42,3,8
43,3,9
44,3,10
45,4,0
46,4,1
47,4,2
48,4,3
49,4,4
50,4,5
51,4,6
52,4,7
53,4,8
54,4,9
55,4,10
56,5,0
57,5,1
58,5,2
59,5,3
60,5,4
61,5,5
62,5,6
63,5,7
64,5,8
65,5,9
66,5,10
67,6,0
68,6,1
69,6,2
70,6,3
71,6,4
72,6,5
73,6,6
74,6,7
75,6,8
76,6,9
77,6,10
78,7,0
79,7,1
80,7,2
81,7,3
82,7,4
83,7,5
84,7,6
85,7,7
86,7,8
87,7,9
88,7,10
89,8,0
90,8,1
91,8,2
92,8,3
93,8,4
94,8,5
95,8,6
96,8,7
97,8,8
98,8,9
99,8,10
100,9,0
101,9,1
102,9,2
103,9,3
104,9,4
105,9,5
106,9,6
107,9,7
108,9,8
109,9,9
110,9,10
111,10,0
112,10,1
113,10,2
114,10,3
115,10,4
116,10,5
117,10,6
118,10,7
119,10,8
120,10,9
121,10,10
